MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924806,0.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.5960000,0.0252679,0.2600904,-0.0077552
MsgID.LOCAL_VELOCITY,30.5960000,0.0000049,-0.0000100,0.0001274
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924803,0.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.8460000,-0.0117772,0.1409019,-0.0493127
MsgID.LOCAL_VELOCITY,30.8460000,0.0000081,-0.0000187,0.0000075
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924800,0.0920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.0960000,-0.0509416,0.2954755,-0.0921318
MsgID.LOCAL_VELOCITY,31.0960000,-0.0000213,0.0000148,0.0000083
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924800,0.1400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.3470000,-0.0516987,0.3583725,-0.1400477
MsgID.LOCAL_VELOCITY,31.3470000,0.0000275,-0.0000019,0.0000222
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924807,0.1750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.5980000,0.0344766,0.2599170,-0.1756927
MsgID.LOCAL_VELOCITY,31.5980000,-0.0000011,-0.0000086,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924806,0.2030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.8480000,0.0217932,0.2619000,-0.2039223
MsgID.LOCAL_VELOCITY,31.8480000,-0.0000165,0.0000058,0.0000238
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924789,0.2140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.0980000,-0.1742064,0.2924725,-0.2148025
MsgID.LOCAL_VELOCITY,32.0980000,-0.0000091,0.0000035,0.0000187
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,0.2090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.3470000,-0.0560840,0.2926623,-0.2097371
MsgID.LOCAL_VELOCITY,32.3470000,0.0000102,-0.0000081,0.0000158
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924793,0.1910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.5990000,-0.1269954,0.2924785,-0.1913767
MsgID.LOCAL_VELOCITY,32.5990000,0.0000142,0.0000150,0.0000164
MsgID.LOCAL_POSITION,32.8500000,-0.1394931,0.2978804,-0.1597194
MsgID.LOCAL_VELOCITY,32.8500000,0.0000035,-0.0000114,0.0000164
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924792,0.1590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,33.1000000,-0.0301266,0.4202404,-0.1273356
MsgID.LOCAL_VELOCITY,33.1000000,0.0000024,-0.0000103,0.0000230
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924801,0.1270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924805,0.0920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.3510000,0.0095971,0.3615878,-0.0925774
MsgID.LOCAL_VELOCITY,33.3510000,-0.0000103,0.0000009,0.0000114
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924813,0.0630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.6020000,0.0968794,0.1891171,-0.0629437
MsgID.LOCAL_VELOCITY,33.6020000,0.0000178,-0.0000036,0.0000174
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924799,0.0320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.8510000,-0.0568637,0.2137853,-0.0322282
MsgID.LOCAL_VELOCITY,33.8510000,0.0000057,-0.0000011,0.0000137
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924798,0.0050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.1020000,-0.0739521,0.3443234,-0.0057358
MsgID.LOCAL_VELOCITY,34.1020000,0.0000052,-0.0000145,0.0000121
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924799,-0.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.3530000,-0.0521757,0.3932472,0.0206059
MsgID.LOCAL_VELOCITY,34.3530000,-0.0000243,-0.0000284,0.0000036
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924800,-0.0400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.6040000,-0.0476783,0.2878305,0.0402106
MsgID.LOCAL_VELOCITY,34.6040000,0.0000012,-0.0000119,0.0000066
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924802,-0.0540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.8540000,-0.0189408,0.4192851,0.0540114
MsgID.LOCAL_VELOCITY,34.8540000,-0.0000197,0.0000160,0.0000047
